model,trial_id,condition,trial_type,claimed_speaker,test_speaker,test_path,claimed_cohort,test_cohort,is_same_cohort,score
baseline,0e392fea80811515c1db8a62,clean,genuine,hindi_1087_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.8652779133711275
baseline,3812972fc484b3644c3d07ad,clean,impostor,hindi_590_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.17509792663502083
baseline,e81112b71c2f74691b379ae9,clean,impostor,hindi_384_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.012586459631032323
baseline,5678a660d86150d0fc5791d5,clean,impostor,hindi_326_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.3832890176559346
baseline,f77b929a6ad90cbc5d54cd69,clean,impostor,hindi_736_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.25721055259328524
baseline,688ab91407bb3211f4d7a8b6,clean,impostor,hindi_727_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.1496130177350301
baseline,eb01615ea4340ae45e3fd2fd,clean,impostor,hindi_229_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.49496757272683456
baseline,5b26e5371f7fe3cabd0cdbb2,clean,impostor,hindi_346_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.06133591269622064
baseline,26222400cdf7c1f95cc7d324,clean,impostor,hindi_645_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.31880307306346617
baseline,19c907ce01269235820c52eb,clean,impostor,hindi_186_male,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,male|hindi|unknown,female|hindi|unknown,false,0.17269903405620138
baseline,e6acff963464fcd7577c8af5,clean,impostor,hindi_458_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.3420779187177305
baseline,024c9f19e74492679b8ed7dd,clean,genuine,hindi_1128_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.8508715478876864
baseline,067378a442ac426f5b4bd218,clean,impostor,hindi_289_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.23588728318014188
baseline,bc88183059cee3f09000eff0,clean,impostor,hindi_326_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.30162633615602064
baseline,8d2b9e1153d65cfadbc41bf7,clean,impostor,hindi_819_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.23252664567953868
baseline,93762954039e0ccbd700678d,clean,impostor,hindi_1148_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.25540526565031857
baseline,eb9ebc2963e75f21e763a09b,clean,impostor,hindi_1087_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.29560987677885037
baseline,2a26fa223d6b930c550fdc7b,clean,impostor,hindi_367_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.2703498790080677
baseline,55045e24c7b40fc727557b3a,clean,impostor,hindi_550_male,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,male|hindi|unknown,female|hindi|unknown,false,0.12166358417417639
baseline,fe64a4723c3b42519bc5c28a,clean,impostor,hindi_448_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.28582457009832085
baseline,8d5ee2495dd1c9a2e9c10d05,clean,impostor,hindi_229_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.4162066484938335
baseline,0720a592fd6ceb4a58159791,clean,impostor,hindi_252_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.46291009936327265
baseline,1dfd3fb5c35b37763dd111c6,clean,genuine,hindi_1148_female,hindi_1148_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1148_female\844424931427821-1148-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.7793992810328597
