model,trial_id,condition,trial_type,claimed_speaker,test_speaker,test_path,claimed_cohort,test_cohort,is_same_cohort,raw_similarity,snorm_score,mu_imp,sigma_imp,decision,verified,real_impostor_cohort_size
baseline,0e392fea80811515c1db8a62,clean,genuine,hindi_1087_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.8577286100002721,3.579692588289236,0.2457676795294917,0.17095348703203633,verified,true,39
baseline,3812972fc484b3644c3d07ad,clean,impostor,hindi_590_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.21910124015686977,-0.15807627439770996,0.24646942793403434,0.17313279859005237,mismatch,false,38
baseline,e81112b71c2f74691b379ae9,clean,impostor,hindi_384_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.07356456359966745,-1.034381350802957,0.25029934047501334,0.17086036667052473,mismatch,false,38
baseline,5678a660d86150d0fc5791d5,clean,impostor,hindi_326_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.38268343236508984,0.8183002907833983,0.24216463340223907,0.17172033365444042,mismatch,false,38
baseline,f77b929a6ad90cbc5d54cd69,clean,impostor,hindi_736_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.27851968938505306,0.19418262934512576,0.24490578453329265,0.1731045921312434,mismatch,false,38
baseline,688ab91407bb3211f4d7a8b6,clean,impostor,hindi_727_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.14673047445536175,-0.589504761118204,0.24837392176828454,0.1724217580874497,mismatch,false,38
baseline,eb01615ea4340ae45e3fd2fd,clean,impostor,hindi_229_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.5758081914178453,2.05942865196989,0.23708240290085075,0.16447561229809818,step_up,false,38
baseline,5b26e5371f7fe3cabd0cdbb2,clean,impostor,hindi_346_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.17096188876030136,-0.4444211675650118,0.24773625297078614,0.1727513669772579,mismatch,false,38
baseline,26222400cdf7c1f95cc7d324,clean,impostor,hindi_645_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.38268343236508984,0.8183002907833983,0.24216463340223907,0.17172033365444042,mismatch,false,38
baseline,19c907ce01269235820c52eb,clean,impostor,hindi_186_male,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,male|hindi|unknown,female|hindi|unknown,false,0.19509032201612833,-0.3006625113364207,0.2471012942008959,0.17298788583113667,mismatch,false,38
baseline,e6acff963464fcd7577c8af5,clean,impostor,hindi_458_female,hindi_1087_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.5245896826784688,1.7133609453402343,0.2384302583939923,0.16701642760256324,step_up,false,38
baseline,024c9f19e74492679b8ed7dd,clean,genuine,hindi_1128_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.8245893027850253,4.1151497834065,0.2427180568611554,0.14139734312227142,verified,true,39
baseline,067378a442ac426f5b4bd218,clean,impostor,hindi_289_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.29028467725446233,0.34131018343652086,0.2414663036929105,0.143032279523624,mismatch,false,38
baseline,bc88183059cee3f09000eff0,clean,impostor,hindi_326_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.325310292162263,0.594424950850903,0.2405445769848105,0.1426012065208782,mismatch,false,38
baseline,8d2b9e1153d65cfadbc41bf7,clean,impostor,hindi_819_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.2548656596045146,0.0870426405677975,0.24239838310475123,0.14323182773910262,mismatch,false,38
baseline,93762954039e0ccbd700678d,clean,impostor,hindi_1148_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.21910124015686977,-0.16927005294205028,0.24333955203758395,0.1431931488141744,mismatch,false,38
baseline,eb9ebc2963e75f21e763a09b,clean,impostor,hindi_1087_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.3713171939518376,0.9315718519720477,0.23933386904297957,0.14167809453394503,mismatch,false,38
baseline,2a26fa223d6b930c550fdc7b,clean,impostor,hindi_367_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.19509032201612833,-0.341750017317387,0.2439714183044456,0.1430317302454468,mismatch,false,38
baseline,55045e24c7b40fc727557b3a,clean,impostor,hindi_550_male,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,male|hindi|unknown,female|hindi|unknown,false,0.012271538285719944,-1.7120034381721942,0.24878243892893,0.1381486131217814,mismatch,false,38
baseline,fe64a4723c3b42519bc5c28a,clean,impostor,hindi_448_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.3136817403988916,0.5101284894501326,0.2408505915048992,0.14277020476252375,mismatch,false,38
baseline,8d5ee2495dd1c9a2e9c10d05,clean,impostor,hindi_229_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.5453249884220465,2.3118924795873843,0.23475471655692146,0.1343359497066897,step_up,false,38
baseline,0720a592fd6ceb4a58159791,clean,impostor,hindi_252_female,hindi_1128_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932916315-1128-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.4275550934302822,1.3551257602065825,0.2378539243198626,0.13998787026342158,mismatch,false,38
baseline,1dfd3fb5c35b37763dd111c6,clean,genuine,hindi_1148_female,hindi_1148_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1148_female\844424931427821-1148-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.8032075314806449,3.1957423521317563,0.21157408615396248,0.18513177225693012,verified,true,39
baseline,94de11ffbb5119c05017be87,clean,impostor,hindi_590_female,hindi_1148_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1148_female\844424931427821-1148-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.2548656596045146,0.23706948131311284,0.21043483422105325,0.18741689203250395,mismatch,false,38
baseline,256dae7965533c524b3ec5d5,clean,impostor,hindi_682_female,hindi_1148_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1148_female\844424931427821-1148-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.33688985339222005,0.6899212588447158,0.2082763028055873,0.1864177236718263,mismatch,false,38
baseline,5f3a1d72b016152116831605,clean,impostor,hindi_346_female,hindi_1148_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1148_female\844424931427821-1148-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.18303988795514106,-0.15619281196881732,0.2123249861065631,0.18749325133648656,mismatch,false,38
baseline,f2ade1f5ad8040c694b87766,clean,impostor,hindi_448_female,hindi_1148_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1148_female\844424931427821-1148-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.14673047445536175,-0.3554094342412006,0.21328049698813617,0.18724889133812322,mismatch,false,38
baseline,df9cae7b42dc3a39c1664837,clean,impostor,hindi_939_female,hindi_1148_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1148_female\844424931427821-1148-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.325310292162263,0.6254979495541554,0.20858102810111245,0.18661814022628406,mismatch,false,38
baseline,3c20775653fc48f15d07b634,clean,impostor,hindi_193_female,hindi_1148_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1148_female\844424931427821-1148-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.4928981922297841,1.5884734113519672,0.20417082020459879,0.1817640572148112,step_up,false,38
baseline,59abfefc5662110eb9475eec,clean,impostor,hindi_934_male,hindi_1148_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1148_female\844424931427821-1148-f.wav,male|hindi|unknown,female|hindi|unknown,false,-0.08579731234443976,-1.685493145599262,0.21939964927234143,0.18107279902836454,mismatch,false,38
baseline,f9ae86adb6278128f6894a3e,clean,impostor,hindi_326_female,hindi_1148_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1148_female\844424931427821-1148-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.48218377207912283,1.5242952622488675,0.2044527786296162,0.18220288439377322,step_up,false,38
baseline,68c03b8bbd009d9fa96c8002,clean,impostor,hindi_662_male,hindi_1148_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1148_female\844424931427821-1148-f.wav,male|hindi|unknown,female|hindi|unknown,false,-0.07356456359966733,-1.611435795913924,0.21907773483168957,0.18160344903185247,mismatch,false,38
baseline,0c0d0fba3a45427329fa82e1,clean,impostor,hindi_736_female,hindi_1148_female,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1148_female\844424931427821-1148-f.wav,female|hindi|unknown,female|hindi|unknown,true,0.14673047445536175,-0.35540943424120064,0.2132804969881362,0.18724889133812328,mismatch,false,38
baseline,50948d4a1044911a45acf683,clean,genuine,hindi_1160_male,hindi_1160_male,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1160_male\844424932309963-1160-m.wav,male|hindi|unknown,male|hindi|unknown,true,0.8104571982525948,5.091606838748262,0.13896128514275485,0.13188290737603825,verified,true,39
baseline,2a72e6022915edd011d62122,clean,impostor,hindi_349_male,hindi_1160_male,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1160_male\844424932309963-1160-m.wav,male|hindi|unknown,male|hindi|unknown,true,0.23105810828067128,0.7120350871749656,0.13653768453386228,0.13274686240789546,mismatch,false,38
baseline,1b0dd80d940db4af2945d214,clean,impostor,hindi_38_male,hindi_1160_male,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1160_male\844424932309963-1160-m.wav,male|hindi|unknown,male|hindi|unknown,true,0.3598950365349883,1.7634944231274021,0.13314723905348552,0.12857868701358607,step_up,false,38
baseline,e0ce77a54c8ce276d6456ab2,clean,impostor,hindi_390_male,hindi_1160_male,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1160_male\844424932309963-1160-m.wav,male|hindi|unknown,male|hindi|unknown,true,0.21910124015686977,0.6186165152880865,0.13685233895817286,0.13295620011113674,mismatch,false,38
