epoch,train_loss,train_acc,test_loss,test_acc
1,0.4188,79.9,0.6516,64.17
2,0.2426,89.4,0.8658,67.71
3,0.1571,93.4,1.5908,43.05
4,0.1243,94.6,2.8361,55.45
5,0.0946,96.2,4.0529,63.35
6,0.0718,97.4,4.1572,68.26
7,0.0751,97.6,7.6309,68.66
8,0.0524,98.5,4.7743,67.17
9,0.0532,98.3,5.4832,66.62
10,0.0199,99.2,7.4656,67.44
11,0.0356,99.0,12.6358,69.89
12,0.0322,98.9,12.6294,68.53
13,0.0319,98.9,6.0008,70.98
14,0.0324,99.0,11.7922,68.66
15,0.0420,98.7,1.3823,70.84
16,0.0309,98.9,12.3922,63.90
17,0.0236,99.3,8.5675,68.26
18,0.0141,99.6,15.1674,70.57
19,0.0096,99.7,11.7049,72.34
20,0.0177,99.6,3.5980,72.21
